"ncm","excecao","desc","ipi","concat_desc"
"02071400","","-- Pedaços e miudezas, congelados ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Pedaços e miudezas, congelados"
"02072400","","-- Não cortadas em pedaços, frescas ou refrigeradas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02072500","","-- Não cortadas em pedaços, congeladas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Não cortadas em pedaços, congeladas"
"02072600","","-- Pedaços e miudezas, frescos ou refrigerados ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Pedaços e miudezas, frescos ou refrigerados"
"02072700","","-- Pedaços e miudezas, congelados ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Pedaços e miudezas, congelados"
"02074100","","-- Não cortadas em pedaços, frescas ou refrigeradas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02074200","","-- Não cortadas em pedaços, congeladas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Não cortadas em pedaços, congeladas"
"02074300","","-- Fígados gordos (foies gras), frescos ou refrigerados ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Fígados gordos (foies gras), frescos ou refrigerados"
"02074400","","-- Outras, frescas ou refrigeradas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Outras, frescas ou refrigeradas"
"02074500","","-- Outras, congeladas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Outras, congeladas"
"02075100","","-- Não cortadas em pedaços, frescas ou refrigeradas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02075200","","-- Não cortadas em pedaços, congeladas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Não cortadas em pedaços, congeladas"
"02075300","","-- Fígados gordos (foies gras), frescos ou refrigerados ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Fígados gordos (foies gras), frescos ou refrigerados"
"02075400","","-- Outras, frescas ou refrigeradas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Outras, frescas ou refrigeradas"
"02075500","","-- Outras, congeladas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Outras, congeladas"
"02076000","","- De galinhas-d'angola (pintadas) ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De galinhas-d'angola (pintadas)"
"02081000","","- De coelhos ou lebres ","0","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De coelhos ou lebres"
"02083000","","- De primatas ","0","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De primatas"
"02084000","","- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia) ","0","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)"
"02085000","","- De répteis (incluindo as serpentes e as tartarugas marinhas) ","0","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De répteis (incluindo as serpentes e as tartarugas marinhas)"
"02086000","","- De camelos e outros camelídeos (Camelidae) ","0","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De camelos e outros camelídeos (Camelidae)"
"02089000","","- Outras ","0","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - Outras"
"02091011","","Fresco, refrigerado ou congelado ","0","Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Toucinho Fresco, refrigerado ou congelado"
"02091019","","Outros ","0","Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Toucinho Outros"
"02091021","","Fresca, refrigerada ou congelada ","0","Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Gordura Fresca, refrigerada ou congelada"
"02091029","","Outras ","0","Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Gordura Outras"
"02099000","","- Outros ","0","Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - Outros"
"02101100","","-- Pernas, pás e respectivos pedaços, não desossados ","0","- Carnes da espécie suína: -- Pernas, pás e respectivos pedaços, não desossados"
"02101200","","-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços ","0","- Carnes da espécie suína: -- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços"
"02101900","","-- Outras ","0","- Carnes da espécie suína: -- Outras"
"02102000","","- Carnes da espécie bovina ","0","- Carnes da espécie bovina"
"02109100","","-- De primatas ","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- De primatas"
"02109100","01","Miudezas; farinhas e pós dessas miudezas","NT","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- De primatas"
"02109200","","-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)","0","- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas: -- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia"
